hour,node_id,floor,node_category,node_name,flow
19,L1-HOTEL-MANDARIN,L1,Hotel,"Mandarin Oriental, Guangzhou",23
19,L1-TOWER-1,L1,Office_Tower,Taikoo Hui Tower 1,45
19,L1-TOWER-2,L1,Office_Tower,Taikoo Hui Tower 2,84
19,L1-F-ESC-WEST,L1,Facility_Escalator,Escalator,90
19,L1-F-ESC-WEST-MID,L1,Facility_Escalator,Escalator,69
19,L1-F-ESC-CENTER,L1,Facility_Escalator,Escalator,35
19,L1-F-ESC-CENTER-SOUTH,L1,Facility_Escalator,Escalator,80
19,L1-F-ESC-EAST-MID,L1,Facility_Escalator,Escalator,48
19,L1-F-ESC-EAST,L1,Facility_Escalator,Escalator,26
19,L1-F-WC-WEST,L1,Facility_Restroom,Restroom / Accessible WC,98
19,L1-F-ELEVATOR-CENTER,L1,Facility_Elevator,Elevator,57
